TABLEAU DE VIDANGE,,,IMMEUBLE YASSMINE TAWER BLOC B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARC MEDIBAT,,,N IDENTIF 0042847EAM000,,,,,,,,,,,,,,tablo de vidange PARC MEDIBAT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINS,,date,index,prochain,vidange M,DATE DERNIERE CONSULTATION,NBRE D HEURE,vidange HY,vidange BOI,F  H,F H 2,F GA,F GK,F GS,filtre a air,F S EAU,F B,F HY,F D,huile BOITE,huile HY,H 140,H ATF,H 90,HMD 40,CX 50,eau RADIAT,graisse,huile +filtre S,huile  T 316,vidange pont
,,,,VIDANGE,  MOTEUR,,,HYDROLIQU,BOITE,HUILE,HUILE,GASOIL,GASOIL,GASOIL,IN           EX,GASOIL,BOITE,HIDROLI,DECLO,BOITE,HYDROLIQU,140,,80w90,40 HMD,CX 50,RADIATEUR,ANTI + N,COMPRESSEUR,THERMIQUE,
TRACTOPELLE, N° Matériels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTOPELLE,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTOPELLE,T5,1/27/2025,       P,       P,26 Lh 40R4,,,,,,,,,,OK      OK,,,,,,40 L h46 N,,5 L,,,,,,,,
TRACTOPELLE,T6,8/31/2024,,,12 Lh 40R4,,,,,OK,,,,,OK      OK,,,,,,35 L h46 N,,,,15 L,,20L 4S,,,,
TRACTOPELLE,T7,12/24/2024,       P,       P,22 Lh 40R4,,,,,OK,,OK,OK,OK,OK      OK,,,,,,60L h46 N,,,,26 L,,,,,,
TRACTOPELLE,T8,9/17/2024,,,24L h 40 R4,,,,,OK    ,,,,,,,,,,,90L h46 N,,5 L,20 L,,,,,,,
TRACTOPELLE,T10,12/27/2024,18276,18526,27L h 40 R4,,,,,,,,,,OK        OK,,,,,,100L h46 N,,66 L,5L,24 L,,,5 KG N,,,
TRACTOPELLE,T11,10/26/2024,       P,       P,24 Lh 40R4,,,30/01/25 120 L h 46 N,30/01/25 -30L h ATF fuite de huile,,,,,,OK        OK,,OK,,,,220 L h 46 N,,16 L,,7 L,,,5 KG N,,,
TRACTOPELLE,T12,11/8/2024,,,,,,,,,,,,,OK        OK,,,,,,160 L h 46 N,,6L,,20 L,,,,,,
TRACTOPELLE,T13,1/31/2025,13155,13405,24 Lh 40R4,,,03/01/25  100L h 46 N,,,,,,,OK        OK,,,,,,257L h 46 N,,,,,,,,,,
TRACTOPELLE,T14,3/3/2025,13879,14129,26 Lh 40R4,,,,,OK,,,,,OK        OK,,,,,,5 L h 46 N,,,,,,,,,,
TRACTOPELLE,T15,11/1/2024,5064,5314,12 Lh 40R4,,,,,,,,,,OK        OK,,,,,,60 L h 46 N,,,,,,,,,,
TRACTOPELLE,T16,12/23/2024,6307,6557,24 Lh 40R4,,,100L h46 S PV 6982,,,,OK,,OK,OK        OK,,,OK,,,,,,,,,,,,,
TRACTOPELLE,T17,3/10/2025,2260,2510,24 Lh 40R4,,,,10/03/25 16 L h B HI-TRAN PV 3260,OK,,OK,OK,,OK        OK,,OK,,,,,,,,,,,5 KG N,,,
TRACTOPELLE,T18,1/23/2025,3517,3767,36 Lh 40R4,,,,,OK,,OK,OK,,OK        OK,,,,,,20L h46 N,,,,,,50L 30%,,,,18L h90 20L h40 R4 PV 4040
TRACTOPELLE,T19,11/26/2024,2910,3160,48 Lh 40R4,,,,,OK,,OK,OK,,OK        OK,,,,,,40L h 46 N,,,,,,,,,,
TRACTOPELLE,T20,3/7/2025,3167,3417,36 Lh 40R4,4/8/2025,3295,,,OK,,OK,,OK,OK        OK,,,,,,,,,,,,40L 30%,,,,
TRACTOPELLE,T21,3/24/2025,3320,3570,38 Lh 40R4,,,,,OK    ,,,OK,OK,OK        OK,,,,,,10L h46 N,,,,,,,,,,
TRACTOPELLE,T22,1/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,10 KG N,,,
TRACTOPELLE,T23,1/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,5 KG N,,,
TRACTOPELLE,T24,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,5 KG N,,,
TRACTOPELLE,T25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTOPELLE,T26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARGEUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARGEUSE,CH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARGEUSE,CH2,1/3/2025,17914,18164,80L h 40 R4,,,18/02/25 140 L h 46 N ,,,,,,,OK        OK,,,OK,,,,,53 L,,10 L,,,15 KG N,,,
CHARGEUSE,CH3,3/6/2025,        P,        P,60L h 40 R4,,,,,OK,,OK,,OK,OK      OK,   OK,,,,,375L h46 N,,,,,,,15 KG N,,,
CHARGEUSE,CH4,2/21/2025,12570,12820,60L h 40 cat,,,,,,,,,,OK        OK,,OK,OK,,,,,,,,,5L 50%,,,,
CHARGEUSE,CH5,3/20/2025,5553,5803,80L h 40 cat,,,120L h46 S PV 6007,,OK    ,,,ok,OK,OK        OK,,OK,OK,,,,,,,,,,17 KG,,,80L h CX50 PV 7007
CHARGEUSE,CH6,2/24/2025,6766,7016,120L h 40 R4,,,,24/02/25 55 L h 40 R4 PV 7766,OK    ,,OK,,OK,OK        OK,,,,,,,,,,,,,,,,24/02/25 110L h 40 R4 PV INDSX 7766
CHARGEUSE,CH7,12/23/2024,5586,5836,120L h 40 R4,,,26/02/25 200 L h 46 S PV 6791,26/02/25 55 L h 40 R4 PV 6791,OK    ,,,,,OK       OK,,OK,,,,,,,,,,,20KG N,,,26/02/25 110 L h 40 R3 PV 6791
CHARGEUSE,CH8,3/21/2025,3030,3280,200L h 40 R4,,,,,OK    ,,OK,,,OK       OK,,,,,,40L h 46 N,,,,,,,5 KG N,,,
CHARGEUSE,CH9,3/25/2025,3075,3325,80L h 40 R4,,,03/02/25 260 Lh 46 S  PV 3733,,OK,,OK    ,,,OK        OK,OK,,,,,,,,,6 L,,40 L 4S,15 KG N,,,
CHARGEUSE,CH10,1/22/2025,14834,15048,120L h 40 R4,,,,,,,,,OK,OK       OK,,,,,,140Lh46 N,,,,7 L,100 L,,10KG N,,,11/03/25 60 L h CX50 PV 17172
CHARGEUSE,CH11,2/13/2025,2745,2995,53L h 40 R4,,,,,OK,,,,,OK       OK,   OK,,,,16L H CX 50,60Lh 46 N,,,,30 L,16L,,10 KG,,,
CHARGEUSE,CH12,12/19/2024,16689,16939,62L h 40 R4,,,,28L h 40 R4,OK    ,,OK,OK,OK,,,,,,,20L h 46 N,,,,35 L,,10L 50%,5KG,,,25L h CX 50
CHARGEUSE,CH13,11/25/2024,6530,6780,40L h 40 R4,,,220L S  h 46 PV 7129,20L h 40 R4 PV 7129,OK,,OK,,OK,OK        OK,   OK,OK,,,,160L h 46 N,,,,3 L,,105L eau 30%,,,,40L h 80w90 PV 7129
CHARGEUSE,CH14,3/6/2025,8690,8940,155Lh 40 R4,,,180L h46 S PV 8448,21/02/25 80 L h46 S,,,,,,OK        OK,,OK,OK,,,,,,,,,,25 KG N,,,
PELLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELLE,P1,2/7/2025,         P,        P,70L h 40 R4,,,,,OK,,OK,,,OK       OK,    OK,,,,,400L h46 N,20 L,,,42 L,,80 L  4S,,,,
PELLE,P2,10/14/2024,16379,16629,40L h40 R4,,,20/12/24 220L h46 N PV 81092,,OK,,OK,,,OK       OK,,,,,,160L h 46 N,,,,42 L,,50 L  4S,,,,
PELLE,P3,11/13/2024,14162,14412,40L h40 R4,,,,,,,,,,,,,,,,,,,9 L,,,,10 KG N,,,
PELLE,P4,3/24/2025,12109,12359,120L h 40 cat,,,,,,,OK,,,OK       OK,,,,,,20L h 46 N,,,,10 L,,,5 KG N,,,
PELLE,P5,12/17/2024,3608,3858,80L h40 R4,,,300L h 46 S PV 3190,,OK    ,,ok,,ok,OK        OK,,,,,,60 L h 46 N,,,,,,,37 KG N,,,
PELLE,P6,12/30/2024,2043,2293,40L h40 R4,,,280 L h46 S PV 3043,,,,,,OK,OK       OK,,,,,,,,,,,,,,,,
PELLE,P7,2/13/2025,1795,2045,80L h40 R4,,,,,OK,,,,,OK       OK,,,,,,5L h46 S,,,,,,5 L 4 S,17 KG,,,
PELLE,P8,3/20/2025,1256,1506,40L h40 R4,,,,,OK    ,,ok,,,OK       OK,,,,,,,,,,,,,,,,
PELLE,P9,10/22/2024,9833,10083,37L h40 R4,,,,,OK,,OK,,OK,OK       OK,,,,,,,,,,,,,,,,
PELLE,P10,12/4/2024,132628,132928,125L h 40 cat,,,240L 46 S PV  13535,,OK    ,,OK,,OK,OK       OK,,,OK,,,200L h46 N,,,,5L,,90L 4S,15 KG N,,,20L h 80w90
MINI CHARGEUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B3,1/22/2025,5335,5585,10L h 40 R4,,,,,OK,,OK,OK,,OK        OK,,,,,,90L h46 N,,,,,,,,,,
MINI CHARGEUSE,B4,10/16/2024,,,10L h 40 R4,,,,,OK,,OK,,,OK    OK,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B5,2/10/2025,8017,8267,20L h 40 R4,,,,,,,,,,OK    OK,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B6,1/11/2025,8223,8473,30L h 40 R4,,,,,OK    ,,OK,OK,,OK     OK,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B7,12/27/2024,3977,4227,20L h 40 R4,,,,,,,,,,OK    OK,,,ok,,,25L h 46 N,,,,,,,,,,
MINI CHARGEUSE,B8,12/12/2024,2562,2812,10L h 40 R4,,,,,OK    ,,,,,OK    OK,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B9,11/8/2024,,,,,,,,,,,,,,,,,,,100 Lh 46 N,,,,,,,,,,
MINI CHARGEUSE,B10,2/20/2025,,,50L h 40 R4,,,,,OK    ,,OK,,,OK    OK,,,,,,,,,,2 L,,40 L 4 S,,,,
MINI CHARGEUSE,B11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI CHARGEUSE,B13,1/29/2025,1309,1559,11L h 40 R4,,,,,OK,,OK,,,OK    OK,,,,,,40 L h46 N,,,,,,,,,,
CYLINDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYLINDRE,C1,12/5/2024,       p,       p,40L h 40 R4,,,,,OK    ,,OK,,,,,,,,,340L h46 N,,,,32L,,,10 KG N,,,
CYLINDRE,C2,1/7/2025,       P,       P,39L h40 R4,,,,,OK    ,,OK,,,OK        OK,,,ok,,,40 L h46 N,,,,10 L,,3L 4S,,,,
CYLINDRE,C4,12/6/2024,       p,       p,24L h40 R4,,,,,OK    ,,OK,,OK,OK        OK,,,,,,30L h46 N,,,,11L,,,,,,
CYLINDRE,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYLINDRE,C6,,,,,,,,,,,OK,,,,,,,,,5L h46 N,,,,,,40 L 4S,,,,
CYLINDRE,C7,1/13/2025,       p,       p,12 L h 40 R4,,,,,OK    ,,,,OK,OK        OK,,,,,,,,,,,,,,,,
CYLINDRE,C8,3/3/2025,       p,       p,12 L h 40 R4,,,,,OK,,OK,,OK,OK        OK,,,,,,10L h46 N,,,,,,,,,,
CYLINDRE,C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYLINDRE,C10,1/13/2025,2553,2803,20L h 40 R4,,,,,OK    ,,OK,,OK,OK        OK,,,,,,,,,,,,,,,,
CYLINDRE,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYLINDRE, C12,1/10/2025,        P,        P,12 L h 40 R4,,,,,OK    ,,OK,,,,,,,,,200 Lh 46 N,,,10 L,20L,,,,,,
CYLINDRE, C13,12/2/2024,176,426,12L h40 R4,,,,,OK    ,,OK,,,OK       OK,,,,,,70L h46 N,,,,,,,,,,
CAMION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CA1,3/10/2025,,,80L h 40 R5,,,,,OK,,,OK,OK,OK        OK,,,,,,70L h 46 N,,,,,,,,,,
CAMION,CA2,12/14/2024,,,80L h 40 R5,,,,,OK    ,,,OK,OK,OK        OK,,,,,,20L h 46 N,,,,,,,,,,
CAMION,CA3,10/19/2024,184845,185345,37 L h40 R5,,,,,OK,,,OK,OK,OK        OK,,,,OK,,10L h 46 N,,7 L,,,,,,,,
CAMION,CA4,1/25/2025,,,40L h 40 R5,,,,,OK,,,OK,OK,OK        OK,,,,,,40L h 46 N,,2 L,,,,40 L 50 %,,,,
CAMION,CA5,3/22/2025,,,80L h 40 R5,,,,,OK    ,,,OK,,OK        OK,,,,,,120L h 46 N,,,,,,5 L 4 S,,,,
CAMION,CA6,2/1/2025,250022,250522,40L h 40 R5,,,,01/02/25 18 L h Boite PV 251022,OK    ,,,OK,OK,OK        OK,,,,OK,,40L h 46 N,,3 L,,,,,,,,01/02/25 40 L h 80w90 PV 251022
CAMION,CA7,10/19/2024,203873,204373,36L h 40 R5,,,,,OK,,,OK,OK,OK        OK,,,,OK,,,,,,,,,,,,
CAMION,CA8,2/1/2025,,,40L h 40 R5,,,,01/02/25 18 L h Boite ,OK    ,,,OK,OK,OK        OK,,,,OK,,,,,,,,5 L 4S,,,,01/02/25 40 L h 80w90 
CAMION,CA9,11/20/2024,,,40L h 40 R5,,,,,OK,,,OK,OK,OK        OK,,,,,,60L h 46 N,,3 L,,,,,,,,
CAMION,CA10,12/3/2024,13019h 229060km,13519h 244060km,40L h 40 R5,,,,,OK    ,,,OK,OK,OK        OK,,,,,,40 L h46 N,,,,,,,,,,
CAMION,CA11,1/16/2025,311033,311283,40 Lh 40R4,,,,,OK    ,,,OK,OK,OK        OK,,,,,,40 L h 46 N,,,,,,3 L 4S,,,,
CAMION,CA12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CA13,10/22/2024,321466,321466,40 Lh 40R4,,,,,OK,,OK,OK,OK,OK        OK,,,,,,,,,,,,,,,,
CAMION,CA14,11/11/2024,      P,      P,40 Lh 40R4,,,,,OK,,OK,OK,OK,OK        OK,,,,,,20 L h46 N,,,,,,,,,,
CAMION,CA15,10/22/2024,279089,279339,40 Lh 40R4,,,,,OK,,OK,,OK,OK        OK,,,,,,5 L h 46 N,,,,,,,,,,
CAMION,CA16,3/12/2025,314152,314402,80 Lh 40R4,,,,,OK    ,,OK,,OK,OK       OK,,,,,,,,,,,,,,,,
CAMION,CT2,1/15/2025,747633,747883,80 Lh 40R4,,,,,OK    ,,,OK,OK,OK       OK,,,,,,,,,,,,30 L 4S,,,,
CAMION,CT3,2/15/2025,,,120 Lh 40R4,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CT4,3/15/2025,435000,450000,120 Lh 40 R5,,,,15/03/25 16 L h 75w80 PV 465000,OK    ,,,OK,OK,OK       OK,,,,OK,,122 Lh N46 ,,,,,,,,,,15/03/25 40 L h 80W90 PV 465000
CAMION,CT5,1/15/2025,435258,435508,80 Lh 40 R4,,,,,,,,,,,,,,,,,,5 L,,,,25 L 4S,,,,
CAMION,CT6,3/13/2025,,,40 Lh 40 R4,,,,13/03/25 15 L h 75w80,OK,OK,OK    ,,OK,,,,,,,,,,,,,50 L 50%,,,,13/03/25 20 L h 80W90 
CAMION,CT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CT7,,,,,,,,,,,,,,,,,,,4L h ATF,,,,,,,15 L 30%,,,,
CAMION,CT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMION,CR1,,,,,,,,,,,,,,,,,,,,100L h46 N,,,,,,,5 KG,,,
CAMION,CR2,3/21/2025,,,80L h 40 R4,,,,,OK,,OK,,,OK       OK,,,,,,20 L h 46 N,,3L,,10L,,5L 4S ,,,60 L,
CENTRALE OROOBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRALE OROOBE,CN1,2/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,17 KG,,1600 L,
CENTRALE OROOBE,CN2,1/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,77 KG A,,1800 L,
NIVLLEUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIVLLEUSE,G3,11/11/1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIVLLEUSE,G4,3/4/2025,128733,128983,60L h 40 cat,,,,,,,OK    ,,OK,OK        OK,,,,,,23 L h46 N,,,,22 L,20 L,20 L 4 S,,,,
NIVLLEUSE,G5,12/27/2024,10780,11080,40L h 40 cat,,,,,,,OK,,OK,OK        OK,,,,,,20L h46 N,,,5 L,22 L,,28L 4S,10 KG,,,
NIVLLEUSE,G6,12/19/2024,       P,       P,40L h 40 cat,,,,,OK    ,,OK,,OK,OK        OK,,,,,,,,,25 L,2 L,,,5KG,,,
NIVLLEUSE,G7,12/7/2024,       P,       P,40L h 40 cat,,,,,OK    ,,,,,OK        OK,,,,,,20L h46 N,,,,,,,,,,
NIVLLEUSE,G8,2/21/2025,3297,3547,60L h 40 cat,,,,,,,,,,OK        OK,,,,,,20L h46 N,,,,,,,5 KG,,,
NIVLLEUSE,G9,3/12/2025,1272,1522,27L h 40 R4,,,,,OK,,OK    ,,,OK        OK,OK,,,,,20L h46 N,,,5 L,5 L,,,10 KG,,,
NIVLLEUSE,G10,1/21/2025,11058,11308,40L h 40 cat,,,,,OK    ,,,,,OK        OK,,,,,,20L h46 N,,,,,,,,,,
TRACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTEUR,TR1,,,,,,,,,,,,,,,,,,,,,,,,3 L,,,,,,
TRACTEUR,TR2,12/12/2024,,,12 L h 40 R4,,,,17/02/25 40 L h 80w90,OK    ,,OK,,,,,,,,,10 L h46 N,,,,,,,,,,
TRACTEUR,TR3,1/31/2025,,,22 L h40 R4,,,,40L h 80w90,OK    ,,OK,,,OK        OK,,,,,,,,,,,,,,,,
TRACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRACTEUR,TR6,2/8/2025,       P,       P,12 L h 40 R4,,,,,OK    ,,OK    ,,OK,OK        OK,,,,,,,,,,,,,,,,
TRACTEUR,TR7,12/25/2024,       P,       P,14L h 40 R4,,,,,OK    ,,OK,OK,,OK        OK,,,,,,,,,,,,10L 4S,,,,
TRACTEUR,TR8,1/8/2025,       P,       P,22L h40 R4,,,,,OK    ,,OK    ,OK    ,,,,,,,,,,,,,,,,,,
COMPACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPACTEUR,CO1,,,,,,,,,,,,,,,,,,,,,,,,,,5 L 4 S,,,,
COMPACTEUR,CO2,9/21/2024,,,20L h 40 R4,,,,,OK    ,,OK,,OK,OK        OK,,,,OK,,,,,,,,,,,,
COMPACTEUR,CO3,12/11/2024,5673,5923,12 L h 40 R4,,,60 L h 46 S PV 6673,,OK    ,,OK,,OK,OK        OK,,,OK,OK,,,,,,5L,,15 L 50%,,,,22 L h 80w90 PV 6673
COMPACTEUR,CO4,1/13/2025,4496,4746,12 L h 40 R4,,,,,OK    ,,OK,,OK,OK        OK,,,,,,,,,,,,,,,,
COMPACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPACTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLDOZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLDOZER,BD1,1/15/2025,5632,5932,70L h 40 CAT,,,,,,,OK,,,OK     OK,,OK,,,,40L h 46 N,,,,,,,,,,
BULLDOZER,BD2,2/22/2025,,,,,,,,,,,,,,,,,,,20 L h 46 N,,,,,,,,,,
FINISSEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINISSEUR,F2,11/25/2024,500,1000,25L h 40 R5,,,120L h 46 S,,OK,OK,OK,OK,OK,OK      OK,,,,,,,,,15L,,,,,,,
FINISSEUR,F3,1/17/2025,500,1000,50L h 40 R5,,,,,OK,OK,OK,OK,OK,OK      OK,,,,,,,,,,,,,17 KG A,,,
FINISSEUR,F4,10/15/2024,,,12L h 40R4,,,160Lh 46 N,,OK,,OK,,OK,,,,OK,,,,,,,,,,,,,
FINISSEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINISSEUR,FR1,11/25/2024,,,,,,,,,,,,,,,,,,,320L h 46 N,,,,,,,15 KG A,,,
